"","Date","Province.State","Country","Lat","Long","Confirmed","Recovered","Deaths","Active"
"49584",2020-12-13,"","Afghanistan",33.93911,67.709953,48527,38250,1965,8312
"49585",2020-12-13,"","Albania",41.1533,20.1683,48530,24820,1003,22707
"49586",2020-12-13,"","Algeria",28.0339,1.6596,92102,60457,2596,29049
"49587",2020-12-13,"","Andorra",42.5063,1.5218,7338,6629,79,630
"49588",2020-12-13,"","Angola",-11.2027,17.8739,16188,8898,371,6919
"49589",2020-12-13,"","Antigua and Barbuda",17.0608,-61.7964,148,138,5,5
"49590",2020-12-13,"","Argentina",-38.4161,-63.6167,1498160,1335317,40766,122077
"49591",2020-12-13,"","Armenia",40.0691,45.0382,148325,125169,2486,20670
"49592",2020-12-13,"Australian Capital Territory","Australia",-35.4735,149.0124,117,114,3,0
"49593",2020-12-13,"New South Wales","Australia",-33.8688,151.2093,4645,3191,53,1401
"49594",2020-12-13,"Northern Territory","Australia",-12.4634,130.8456,63,52,0,11
"49595",2020-12-13,"Queensland","Australia",-27.4698,153.0251,1227,1203,6,18
"49596",2020-12-13,"South Australia","Australia",-34.9285,138.6007,563,558,4,1
"49597",2020-12-13,"Tasmania","Australia",-42.8821,147.3272,234,217,13,4
"49598",2020-12-13,"Victoria","Australia",-37.8136,144.9631,20352,19525,820,7
"49599",2020-12-13,"Western Australia","Australia",-31.9505,115.8605,836,816,9,11
"49600",2020-12-13,"","Austria",47.5162,14.5501,322463,281106,4473,36884
"49601",2020-12-13,"","Azerbaijan",40.1431,47.5769,175874,111918,1922,62034
"49602",2020-12-13,"","Bahamas",25.025885,-78.035889,7659,6069,163,1427
"49603",2020-12-13,"","Bahrain",26.0275,50.55,89143,87182,348,1613
"49604",2020-12-13,"","Bangladesh",23.685,90.3563,490533,420896,7052,62585
"49605",2020-12-13,"","Barbados",13.1939,-59.5432,292,269,7,16
"49606",2020-12-13,"","Belarus",53.7098,27.9534,160295,138464,1263,20568
"49607",2020-12-13,"","Belgium",50.8333,4.469936,608137,0,17951,590186
"49608",2020-12-13,"","Belize",17.1899,-88.4976,9295,4321,195,4779
"49609",2020-12-13,"","Benin",9.3077,2.3158,3090,2972,44,74
"49610",2020-12-13,"","Bhutan",27.5142,90.4336,438,403,0,35
"49611",2020-12-13,"","Bolivia",-16.2902,-63.5887,147150,126221,9018,11911
"49612",2020-12-13,"","Bosnia and Herzegovina",43.9159,17.6791,101117,65758,3336,32023
"49613",2020-12-13,"","Botswana",-22.3285,24.6849,12501,9940,37,2524
"49614",2020-12-13,"","Brazil",-14.235,-51.9253,6901952,6138349,181402,582201
"49615",2020-12-13,"","Brunei",4.5353,114.7277,152,147,3,2
"49616",2020-12-13,"","Bulgaria",42.7339,25.4858,179449,83720,5688,90041
"49617",2020-12-13,"","Burkina Faso",12.2383,-1.5616,4030,2910,71,1049
"49618",2020-12-13,"","Burma",21.9162,95.956,108342,86795,2268,19279
"49619",2020-12-13,"","Burundi",-3.3731,29.9189,729,640,1,88
"49620",2020-12-13,"","Cabo Verde",16.5388,-23.0418,11357,10962,110,285
"49621",2020-12-13,"","Cambodia",11.55,104.9167,359,309,0,50
"49622",2020-12-13,"","Cameroon",3.848,11.5021,25143,23851,443,849
"49623",2020-12-13,"Alberta","Canada",53.9333,-116.5765,80099,0,719,79380
"49624",2020-12-13,"British Columbia","Canada",53.7267,-127.6476,40797,0,598,40199
"49625",2020-12-13,"Diamond Princess","Canada",0,0,0,0,1,-1
"49626",2020-12-13,"Grand Princess","Canada",0,0,13,0,0,13
"49627",2020-12-13,"Manitoba","Canada",53.7609,-98.8139,21023,0,490,20533
"49628",2020-12-13,"New Brunswick","Canada",46.5653,-66.4619,557,0,8,549
"49629",2020-12-13,"Newfoundland and Labrador","Canada",53.1355,-57.6604,358,0,4,354
"49630",2020-12-13,"Northwest Territories","Canada",64.8255,-124.8457,20,0,0,20
"49631",2020-12-13,"Nova Scotia","Canada",44.682,-63.7443,1415,0,65,1350
"49632",2020-12-13,"Nunavut","Canada",70.2998,-83.1076,247,0,0,247
"49633",2020-12-13,"Ontario","Canada",51.2538,-85.3232,143873,0,3968,139905
"49634",2020-12-13,"Prince Edward Island","Canada",46.5107,-63.4168,84,0,0,84
"49635",2020-12-13,"Quebec","Canada",52.9399,-73.5491,163915,0,7508,156407
"49636",2020-12-13,"Repatriated Travellers","Canada",0,0,13,0,0,13
"49637",2020-12-13,"Saskatchewan","Canada",52.9399,-106.4509,11971,0,89,11882
"49638",2020-12-13,"Yukon","Canada",64.2823,-135,58,0,1,57
"49639",2020-12-13,"","Central African Republic",6.6111,20.9394,4936,1924,63,2949
"49640",2020-12-13,"","Chad",15.4542,18.7322,1770,1607,102,61
"49641",2020-12-13,"","Chile",-35.6751,-71.543,571919,544832,15886,11201
"49642",2020-12-13,"Anhui","China",31.8257,117.2264,992,986,6,0
"49643",2020-12-13,"Beijing","China",40.1824,116.4142,955,940,9,6
"49644",2020-12-13,"Chongqing","China",30.0572,107.874,590,583,6,1
"49645",2020-12-13,"Fujian","China",26.0789,117.9874,502,463,1,38
"49646",2020-12-13,"Gansu","China",35.7518,104.2861,182,180,2,0
"49647",2020-12-13,"Guangdong","China",23.3417,113.4244,2017,1973,8,36
"49648",2020-12-13,"Guangxi","China",23.8298,108.7881,264,261,2,1
"49649",2020-12-13,"Guizhou","China",26.8154,106.8748,147,145,2,0
"49650",2020-12-13,"Hainan","China",19.1959,109.7453,171,165,6,0
"49651",2020-12-13,"Hebei","China",39.549,116.1306,373,0,6,367
"49652",2020-12-13,"Heilongjiang","China",47.862,127.7615,958,936,13,9
"49653",2020-12-13,"Henan","China",37.8957,114.9042,1295,0,22,1273
"49654",2020-12-13,"Hong Kong","China",22.3,114.2,7541,6202,117,1222
"49655",2020-12-13,"Hubei","China",30.9756,112.2707,68149,63636,4512,1
"49656",2020-12-13,"Hunan","China",27.6104,111.7088,1020,1016,4,0
"49657",2020-12-13,"Inner Mongolia","China",44.0935,113.9448,338,313,1,24
"49658",2020-12-13,"Jiangsu","China",32.9711,119.455,684,675,0,9
"49659",2020-12-13,"Jiangxi","China",27.614,115.7221,935,934,1,0
"49660",2020-12-13,"Jilin","China",43.6661,126.1923,157,155,2,0
"49661",2020-12-13,"Liaoning","China",41.2956,122.6085,289,287,2,0
"49662",2020-12-13,"Macau","China",22.1667,113.55,46,46,0,0
"49663",2020-12-13,"Ningxia","China",37.2692,106.1655,75,75,0,0
"49664",2020-12-13,"Qinghai","China",35.7452,95.9956,18,18,0,0
"49665",2020-12-13,"Shaanxi","China",35.1917,108.8701,502,482,3,17
"49666",2020-12-13,"Shandong","China",36.3427,118.1498,858,841,7,10
"49667",2020-12-13,"Shanghai","China",31.202,121.4491,1412,1313,7,92
"49668",2020-12-13,"Shanxi","China",37.5777,112.2922,222,218,0,4
"49669",2020-12-13,"Sichuan","China",30.6171,102.7103,832,792,3,37
"49670",2020-12-13,"Tianjin","China",39.3054,117.323,302,295,3,4
"49671",2020-12-13,"Tibet","China",31.6927,88.0924,1,1,0,0
"49672",2020-12-13,"Xinjiang","China",41.1129,85.2401,980,977,3,0
"49673",2020-12-13,"Yunnan","China",24.974,101.487,224,210,2,12
"49674",2020-12-13,"Zhejiang","China",29.1832,120.0934,1297,1290,1,6
"49675",2020-12-13,"","Colombia",4.5709,-74.2973,1425774,1314836,39053,71885
"49676",2020-12-13,"","Comoros",-11.6455,43.3333,628,606,7,15
"49677",2020-12-13,"","Congo (Brazzaville)",-0.228,15.8277,6049,4988,99,962
"49678",2020-12-13,"","Congo (Kinshasa)",-4.0383,21.7587,14461,12465,352,1644
"49679",2020-12-13,"","Costa Rica",9.7489,-83.7534,150947,112622,1895,36430
"49680",2020-12-13,"","Cote d'Ivoire",7.54,-5.5471,21680,21298,133,249
"49681",2020-12-13,"","Croatia",45.1,15.2,175886,148211,2640,25035
"49682",2020-12-13,"","Cuba",21.521757,-77.781167,9423,8434,137,852
