"","Date","Province.State","Country","Lat","Long","Confirmed","Recovered","Deaths","Active"
"2464","10-01-2020","","US",40,-100,7263409,2860650,208103,4194656
"2741","11-01-2020","","US",40,-100,9237988,3630579,231636,5375773
"3018","12-01-2020","","US",40,-100,13775956,5226581,270775,8278600
"5511","10-02-2020","","US",40,-100,7317878,2873369,209034,4235475
"5788","11-02-2020","","US",40,-100,9321377,3674981,232175,5414221
"6065","12-02-2020","","US",40,-100,13978418,5322128,273572,8382718
"8558","10-03-2020","","US",40,-100,7366505,2897322,209714,4259469
"8835","11-03-2020","","US",40,-100,9446872,3705130,233752,5507990
"9112","12-03-2020","","US",40,-100,14198035,5404018,276448,8517569
"11605","10-04-2020","","US",40,-100,7402597,2911699,210064,4280834
"11882","11-04-2020","","US",40,-100,9550747,3743527,234848,5572372
"12159","12-04-2020","","US",40,-100,14427608,5470389,279041,8678178
"14652","10-05-2020","","US",40,-100,7441432,2935142,210529,4295761
"14929","11-05-2020","","US",40,-100,9677723,3781751,235995,5659977
"15206","12-05-2020","","US",40,-100,14642851,5576026,281280,8785545
"17699","10-06-2020","","US",40,-100,7486113,2952390,211231,4322492
"17976","11-06-2020","","US",40,-100,9804508,3810791,237186,5756531
"18253","12-06-2020","","US",40,-100,14819178,5624444,282386,8912348
"20746","10-07-2020","","US",40,-100,7536755,2999895,212156,4324704
"21023","11-07-2020","","US",40,-100,9933088,3851465,238193,5843430
"21300","12-07-2020","","US",40,-100,15011499,5714557,283799,9013143
"23793","10-08-2020","","US",40,-100,7595085,3021252,213124,4360709
"24070","11-08-2020","","US",40,-100,10043588,3881491,238672,5923425
"24347","12-08-2020","","US",40,-100,15231271,5786915,286335,9158021
"26840","10-09-2020","","US",40,-100,7651079,3039089,214085,4397905
"27117","11-09-2020","","US",40,-100,10164759,3928845,239366,5996548
"27394","12-09-2020","","US",40,-100,15454074,5889896,289441,9274737
"29887","10-10-2020","","US",40,-100,7705153,3062983,214717,4427453
"30164","11-10-2020","","US",40,-100,10303847,3961873,240750,6101224
"30441","12-10-2020","","US",40,-100,15680159,5985047,292184,9402928
"32934","10-11-2020","","US",40,-100,7751101,3075077,215141,4460883
"33211","11-11-2020","","US",40,-100,10448056,3997175,242171,6208710
"33488","12-11-2020","","US",40,-100,15913292,6135314,295490,9482488
"35981","10-12-2020","","US",40,-100,7791624,3106728,215479,4469417
"36258","11-12-2020","","US",40,-100,10610786,4051256,243376,6316154
"36535","12-12-2020","","US",40,-100,16134237,6246605,297842,9589790
"39582","10/13/20","","US",40,-100,7844503,3124593,216278,4503632
"39859","10/14/20","","US",40,-100,7903990,3155794,217273,4530923
"40136","10/15/20","","US",40,-100,7968349,3177397,218092,4572860
"40413","10/16/20","","US",40,-100,8036798,3197539,218996,4620263
"40690","10/17/20","","US",40,-100,8093760,3220573,219745,4653442
"40967","10/18/20","","US",40,-100,8143114,3234138,220180,4688796
"41244","10/19/20","","US",40,-100,8209977,3272603,220647,4716727
"41521","10/20/20","","US",40,-100,8271078,3295148,221581,4754349
"41798","10/21/20","","US",40,-100,8334106,3323354,222741,4788011
"42075","10/22/20","","US",40,-100,8409444,3353056,223596,4832792
"42352","10/23/20","","US",40,-100,8490431,3375427,224548,4890456
"42629","10/24/20","","US",40,-100,8573252,3406656,225487,4941109
"42906","10/25/20","","US",40,-100,8635054,3422878,225868,4986308
"43183","10/26/20","","US",40,-100,8701562,3460455,226366,5014741
"43460","10/27/20","","US",40,-100,8777576,3487666,227334,5062576
"43737","10/28/20","","US",40,-100,8856210,3518140,228348,5109722
"44014","10/29/20","","US",40,-100,8946385,3554336,229316,5162733
"44291","10/30/20","","US",40,-100,9044904,3578452,230343,5236109
"44568","10/31/20","","US",40,-100,9133887,3612478,231222,5290187
"44845","11/13/20","","US",40,-100,10789627,4095146,244541,6449940
"45122","11/14/20","","US",40,-100,10957635,4148444,245802,6563389
"45399","11/15/20","","US",40,-100,11094389,4174884,246435,6673070
"45676","11/16/20","","US",40,-100,11252105,4244811,247180,6760114
"45953","11/17/20","","US",40,-100,11414140,4293640,248877,6871623
"46230","11/18/20","","US",40,-100,11585887,4350789,250763,6984335
"46507","11/19/20","","US",40,-100,11774996,4410709,252740,7111547
"46784","11/20/20","","US",40,-100,11971702,4457930,254636,7259136
"47061","11/21/20","","US",40,-100,12151068,4529700,256064,7365304
"47338","11/22/20","","US",40,-100,12293971,4526513,256965,7510493
"47615","11/23/20","","US",40,-100,12464945,4633600,257898,7573447
